logical_layer,module_l1,module_l2,module_l3,file_count,code_file_count,test_file_count,total_lines,code_lines,dominant_capability,dominant_capability_line_share
delivery,internal/delivery,internal/delivery/server,internal/delivery/server/ports,127,126,45,24017,23889,HTTP API 路由、中间件与会话接口,0.4628
infra,internal/infra,internal/infra/tools,internal/infra/tools,113,113,40,22207,22207,内建工具实现（文件、记忆、日历、子代理等）,0.8853
domain,internal/domain,internal/domain/agent,internal/domain/agent/types,117,116,31,21815,21484,ReAct 推理循环、工具编排与后台任务运行时,0.6819
delivery,internal/delivery,internal/delivery/channels,internal/delivery/channels,75,75,35,19903,19903,Lark 渠道网关、适配与会话桥接,0.9874
app,internal/app,internal/app/agent,internal/app/agent/sessiontitle,91,91,45,19743,19743,应用层会话编排与事件翻译,0.3405
web,web/components,web/components/agent,web/components/agent/tooling,73,73,21,14892,14892,Agent 事件与卡片 UI 组件,1.0000
evaluation,evaluation/agent_eval,evaluation/agent_eval,evaluation/agent_eval,31,30,12,14354,13929,评测数据、脚本与结果,1.0000
cmd,cmd/alex,cmd/alex,cmd/alex,73,73,26,13758,13758,命令行程序入口,1.0000
infra,internal/infra,internal/infra/lark,internal/infra/lark,50,50,22,10867,10867,Lark 基础设施客户端与 OAuth/日历能力,1.0000
shared,internal/shared,internal/shared/config,internal/shared/config,48,48,19,9760,9760,跨层共享基础能力,1.0000
infra,internal/infra,internal/infra/llm,internal/infra/llm,50,50,21,9377,9377,LLM 提供方适配与调用基础设施,0.8916
app,internal/app,internal/app/context,internal/app/context,34,34,18,8007,8007,上下文预算与策略管理,1.0000
web,web/app,web/app/dev,web/app/dev,11,11,0,7203,7203,Web 运维/调试界面,1.0000
web,web/lib,web/lib,web/lib,28,28,1,6447,6447,Web API 客户端与共享库,1.0000
evaluation,evaluation/swe_bench,evaluation/swe_bench,evaluation/swe_bench,22,17,3,5796,4802,评测数据、脚本与结果,1.0000
infra,internal/infra,internal/infra/external,internal/infra/external/workspace,18,18,9,4450,4450,外部代理/子进程桥接能力,1.0000
scripts,scripts,scripts,scripts,29,29,0,4302,4302,自动化脚本与研发工具链,1.0000
infra,internal/infra,internal/infra/skills,internal/infra/skills,16,16,6,4162,4162,基础设施层实现,1.0000
scripts,scripts/lark,scripts/lark,scripts/lark,9,9,0,3779,3779,自动化脚本与研发工具链,1.0000
app,internal/app,internal/app/scheduler,internal/app/scheduler,13,13,3,3451,3451,计划调度应用逻辑,1.0000
infra,internal/infra,internal/infra/mcp,internal/infra/mcp,12,12,6,3241,3241,基础设施层实现,1.0000
web,web/hooks,web/hooks/__tests__,web/hooks/__tests__,9,9,9,3139,3139,Web Hook 层,1.0000
tests,tests/scripts,tests/scripts,tests/scripts,11,11,11,3118,3118,集成测试与回归测试,1.0000
app,internal/app,internal/app/toolregistry,internal/app/toolregistry,13,13,5,3082,3082,工具注册与生命周期管理,1.0000
infra,internal/infra,internal/infra/memory,internal/infra/memory,15,15,4,2525,2525,长期记忆存储、索引与检索,1.0000
shared,internal/shared,internal/shared/errors,internal/shared/errors,7,6,3,2933,2477,跨层共享基础能力,1.0000
web,web/app,web/app/conversation,web/app/conversation,16,16,0,2456,2456,Web 会话主界面,1.0000
web,web/components,web/components/ui,web/components/ui,27,27,0,2447,2447,Web 通用 UI 组件,1.0000
devops,internal/devops,internal/devops/supervisor,internal/devops/supervisor,8,8,4,2353,2353,运维与进程管理能力,1.0000
web,web/lib,web/lib/events,web/lib/events,15,15,4,2180,2180,Web API 客户端与共享库,1.0000
infra,internal/infra,internal/infra/observability,internal/infra/observability,10,10,3,2130,2130,日志、指标、追踪可观测性基础设施,1.0000
web,web/lib,web/lib/__tests__,web/lib/__tests__,17,17,17,2105,2105,Web API 客户端与共享库,1.0000
app,internal/app,internal/app/subscription,internal/app/subscription,9,9,4,2083,2083,订阅业务应用逻辑,1.0000
delivery,internal/delivery,internal/delivery/output,internal/delivery/output,12,12,2,1917,1917,输出渲染与格式化交付,1.0000
app,internal/app,internal/app/di,internal/app/di,8,8,2,1886,1886,依赖注入与装配入口,1.0000
web,web/components,web/components/visualizer,web/components/visualizer,11,11,0,1792,1792,Web 组件层,1.0000
infra,internal/infra,internal/infra/coding,internal/infra/coding,16,16,6,1740,1740,基础设施层实现,1.0000
shared,internal/shared,internal/shared/logging,internal/shared/logging,9,9,4,1543,1543,跨层共享基础能力,1.0000
shared,internal/shared,internal/shared/timer,internal/shared/timer,5,5,2,1499,1499,跨层共享基础能力,1.0000
web,web/hooks,web/hooks/useSSE,web/hooks/useSSE,7,7,0,1461,1461,SSE 连接与流式事件 Hook,1.0000
shared,internal/shared,internal/shared/utils,internal/shared/utils,10,10,4,1454,1454,跨层共享基础能力,1.0000
evaluation,evaluation/rl,evaluation/rl,evaluation/rl,9,9,4,1418,1418,评测数据、脚本与结果,1.0000
web,web/hooks,web/hooks,web/hooks,15,12,0,2597,1312,Web Hook 层,0.9863
delivery,internal/delivery,internal/delivery/presentation,internal/delivery/presentation/formatter,2,2,1,1274,1274,展示层格式器与视图模型,1.0000
app,internal/app,internal/app/notification,internal/app/notification,2,2,1,1260,1260,通知分发应用逻辑,1.0000
root,deploy.sh,deploy.sh,deploy.sh,1,1,0,1203,1203,deploy.sh 子模块实现,1.0000
infra,internal/infra,internal/infra/task,internal/infra/task,3,3,1,1203,1203,基础设施层实现,1.0000
infra,internal/infra,internal/infra/attachments,internal/infra/attachments,8,8,3,1153,1153,附件基础设施处理,1.0000
web,web/lib,web/lib/types,web/lib/types/ui,14,14,0,1130,1130,Web API 客户端与共享库,1.0000
shared,internal/shared,internal/shared/signals,internal/shared/signals,2,2,1,1111,1111,跨层共享基础能力,1.0000
web,web/lib,web/lib/attachments,web/lib/attachments,6,6,1,1082,1082,Web API 客户端与共享库,1.0000
web,web/components,web/components/home,web/components/home,7,7,1,1060,1060,Web 组件层,1.0000
web,web/components,web/components/dev-tools,web/components/dev-tools/shared,6,6,1,1002,1002,Web 组件层,1.0000
infra,internal/infra,internal/infra/session,internal/infra/session/state_store,6,6,2,970,970,会话状态持久化与文件存储,1.0000
infra,internal/infra,internal/infra/integration,internal/infra/integration,2,2,2,943,943,基础设施层实现,1.0000
app,internal/app,internal/app/reminder,internal/app/reminder,7,7,3,939,939,提醒业务应用服务,1.0000
tests,tests/utils,tests/utils,tests/utils,1,1,1,879,879,集成测试与回归测试,1.0000
infra,internal/infra,internal/infra/acp,internal/infra/acp,4,4,1,841,841,ACP 协议与执行基础设施,1.0000
devops,internal/devops,internal/devops,internal/devops,5,5,2,839,839,运维与进程管理能力,1.0000
devops,internal/devops,internal/devops/services,internal/devops/services,4,4,1,822,822,运维与进程管理能力,1.0000
root,dev.sh,dev.sh,dev.sh,1,1,0,783,783,dev.sh 子模块实现,1.0000
infra,internal/infra,internal/infra/moltbook,internal/infra/moltbook,4,4,1,772,772,基础设施层实现,1.0000
delivery,internal/delivery,internal/delivery/eval,internal/delivery/eval/http,5,5,0,769,769,评测交付层接口与引导,1.0000
infra,internal/infra,internal/infra/filestore,internal/infra/filestore,6,6,3,753,753,文件存储基础设施,1.0000
infra,internal/infra,internal/infra/storage,internal/infra/storage,3,3,1,733,733,通用存储基础设施,1.0000
evaluation,evaluation/task_mgmt,evaluation/task_mgmt,evaluation/task_mgmt,5,5,2,732,732,评测数据、脚本与结果,1.0000
domain,internal/domain,internal/domain/workflow,internal/domain/workflow,3,3,1,665,665,工作流 DAG 结构与执行规则,1.0000
domain,internal/domain,internal/domain/materials,internal/domain/materials/ports,5,5,1,646,646,附件/材料领域模型与迁移,1.0000
infra,internal/infra,internal/infra/backup,internal/infra/backup,2,2,1,633,633,基础设施层实现,1.0000
web,web/lib,web/lib/mocks,web/lib/mocks,2,2,1,629,629,Web API 客户端与共享库,1.0000
web,web/scripts,web/scripts,web/scripts,3,3,0,624,624,Web 前端应用,1.0000
web,web/e2e,web/e2e,web/e2e,8,8,8,623,623,Web 端到端测试,1.0000
shared,internal/shared,internal/shared/markdown,internal/shared/markdown,4,4,2,617,617,跨层共享基础能力,1.0000
infra,internal/infra,internal/infra/httpclient,internal/infra/httpclient,7,7,2,593,593,HTTP 客户端封装,1.0000
web,web/app,web/app/__tests__,web/app/__tests__,3,3,3,590,590,Web 前端应用,1.0000
web,web/app,web/app/api,web/app/api/visualizer,5,5,0,565,565,Next.js API 路由,1.0000
infra,internal/infra,internal/infra/environment,internal/infra/environment,3,3,1,544,544,基础设施层实现,1.0000
web,web/app,web/app/evaluation,web/app/evaluation,1,1,0,540,540,Web 前端应用,1.0000
infra,internal/infra,internal/infra/analytics,internal/infra/analytics,8,8,3,534,534,基础设施层实现,1.0000
web,web,web,web,21,7,0,33260,532,Web 前端应用,1.0000
devops,internal/devops,internal/devops/process,internal/devops/process,2,2,1,525,525,运维与进程管理能力,1.0000
scripts,scripts/lib,scripts/lib/common,scripts/lib/common,7,7,0,508,508,自动化脚本与研发工具链,1.0000
evaluation,evaluation/gate,evaluation/gate,evaluation/gate,2,2,1,440,440,评测数据、脚本与结果,1.0000
tests,tests,tests,tests,2,1,2,664,429,集成测试与回归测试,1.0000
scripts,scripts/skill_runner,scripts/skill_runner,scripts/skill_runner,4,4,0,421,421,自动化脚本与研发工具链,1.0000
infra,internal/infra,internal/infra/llamacpp,internal/infra/llamacpp,2,2,1,419,419,基础设施层实现,1.0000
web,web/app,web/app/sessions,web/app/sessions,3,3,0,417,417,会话列表与详情页,1.0000
web,web/components,web/components/layout,web/components/layout,5,5,0,407,407,Web 组件层,1.0000
root,eval-web/app,eval-web/app/debug,eval-web/app/debug,6,6,0,400,400,评测流程实现,1.0000
root,tools/chrome-extension,tools/chrome-extension/elephant-bridge,tools/chrome-extension/elephant-bridge,4,2,0,464,355,工具调用与策略控制,1.0000
skills,skills/image-creation,skills/image-creation,skills/image-creation,3,2,0,394,333,技能模板与流程资产,1.0000
scripts,scripts/skill_runner,scripts/skill_runner/tests,scripts/skill_runner/tests,4,4,4,332,332,自动化脚本与研发工具链,1.0000
infra,internal/infra,internal/infra/kernel,internal/infra/kernel,1,1,0,328,328,基础设施层实现,1.0000
domain,internal/domain,internal/domain/task,internal/domain/task,2,2,1,319,319,任务领域实体与状态语义,1.0000
infra,internal/infra,internal/infra/devops,internal/infra/devops/shadow,6,6,2,317,317,基础设施层实现,1.0000
web,web/components,web/components,web/components,1,1,0,307,307,Web 组件层,1.0000
web,web/lib,web/lib/errors,web/lib/errors/__tests__,2,2,1,304,304,Web API 客户端与共享库,1.0000
scripts,scripts/codex_bridge,scripts/codex_bridge,scripts/codex_bridge,2,2,0,293,293,自动化脚本与研发工具链,1.0000
scripts,scripts/cli,scripts/cli/tavily,scripts/cli/tavily/tests,3,3,2,290,290,自动化脚本与研发工具链,1.0000
scripts,scripts/arch,scripts/arch,scripts/arch,1,1,0,278,278,自动化脚本与研发工具链,1.0000
scripts,scripts/lib,scripts/lib,scripts/lib,2,2,0,276,276,自动化脚本与研发工具链,1.0000
web,web/lib,web/lib/analytics,web/lib/analytics,3,3,0,275,275,Web API 客户端与共享库,1.0000
devops,internal/devops,internal/devops/docker,internal/devops/docker,1,1,0,273,273,运维与进程管理能力,1.0000
root,eval-web/app,eval-web/app/rl-data,eval-web/app/rl-data,2,2,0,261,261,评测流程实现,1.0000
scripts,scripts/cc_bridge,scripts/cc_bridge,scripts/cc_bridge,3,2,0,253,252,自动化脚本与研发工具链,1.0000
root,examples,examples,examples,2,1,0,497,250,examples 子模块实现,1.0000
scripts,scripts/cli,scripts/cli/timer,scripts/cli/timer,3,3,2,250,250,自动化脚本与研发工具链,1.0000
web,web/components,web/components/__tests__,web/components/__tests__,1,1,1,234,234,Web 组件层,1.0000
skills,skills/moltbook-posting,skills/moltbook-posting,skills/moltbook-posting,2,1,0,265,229,技能模板与流程资产,1.0000
skills,skills/soul-self-evolution,skills/soul-self-evolution,skills/soul-self-evolution,2,1,0,259,223,技能模板与流程资产,1.0000
root,Makefile,Makefile,Makefile,1,1,0,216,216,Makefile 子模块实现,1.0000
web,web/components,web/components/session,web/components/session,2,2,0,216,216,Web 组件层,1.0000
devops,internal/devops,internal/devops/log,internal/devops/log,2,2,0,215,215,运维与进程管理能力,1.0000
skills,skills/meta-orchestrator,skills/meta-orchestrator,skills/meta-orchestrator,2,1,0,246,212,技能模板与流程资产,1.0000
devops,internal/devops,internal/devops/port,internal/devops/port,2,2,1,211,211,运维与进程管理能力,1.0000
skills,skills/video-production,skills/video-production,skills/video-production,3,2,0,230,199,技能模板与流程资产,1.0000
root,npm/alex-code,npm/alex-code,npm/alex-code,2,1,0,233,197,npm/alex-code 子模块实现,1.0000
web,web/tests,web/tests/performance,web/tests/performance,1,1,1,196,196,Web 测试与性能校验,1.0000
skills,skills/autonomous-scheduler,skills/autonomous-scheduler,skills/autonomous-scheduler,2,1,0,228,194,技能模板与流程资产,1.0000
cmd,cmd/alex-server,cmd/alex-server,cmd/alex-server,2,2,1,189,189,命令行程序入口,1.0000
infra,internal/infra,internal/infra/diagnostics,internal/infra/diagnostics,2,2,1,179,179,基础设施层实现,1.0000
root,eval-web/lib,eval-web/lib/types,eval-web/lib/types,3,3,0,174,174,评测流程实现,1.0000
web,web/app,web/app/share,web/app/share,2,2,0,174,174,Web 前端应用,1.0000
devops,internal/devops,internal/devops/health,internal/devops/health,1,1,0,173,173,运维与进程管理能力,1.0000
skills,skills/bitable-data,skills/bitable-data,skills/bitable-data,2,1,0,274,173,技能模板与流程资产,1.0000
root,eval-web/app,eval-web/app/evaluations,eval-web/app/evaluations,2,2,0,172,172,评测流程实现,1.0000
shared,internal/shared,internal/shared/uxphrases,internal/shared/uxphrases,1,1,0,171,171,跨层共享基础能力,1.0000
skills,skills/auto-skill-creation,skills/auto-skill-creation,skills/auto-skill-creation,2,1,0,195,171,技能模板与流程资产,1.0000
shared,internal/shared,internal/shared/token,internal/shared/token,2,2,1,164,164,跨层共享基础能力,1.0000
scripts,scripts/browser,scripts/browser,scripts/browser,1,1,0,151,151,自动化脚本与研发工具链,1.0000
web,web/lib,web/lib/visualizer,web/lib/visualizer,2,2,0,149,149,Web API 客户端与共享库,1.0000
skills,skills/wiki-knowledge,skills/wiki-knowledge,skills/wiki-knowledge,2,1,0,227,145,技能模板与流程资产,1.0000
skills,skills/deep-research,skills/deep-research,skills/deep-research,2,1,0,191,143,技能模板与流程资产,1.0000
root,lark.sh,lark.sh,lark.sh,1,1,0,142,142,Lark 平台集成能力,1.0000
skills,skills/drive-file,skills/drive-file,skills/drive-file,2,1,0,219,141,技能模板与流程资产,1.0000
skills,skills/okr-management,skills/okr-management,skills/okr-management,2,1,0,165,141,技能模板与流程资产,1.0000
skills,skills/eval-systematic-optimization,skills/eval-systematic-optimization,skills/eval-systematic-optimization,2,1,0,174,136,技能模板与流程资产,1.0000
skills,skills/calendar-management,skills/calendar-management,skills/calendar-management,2,1,0,178,129,技能模板与流程资产,1.0000
skills,skills/background-tasks,skills/background-tasks,skills/background-tasks,2,1,0,152,126,技能模板与流程资产,1.0000
skills,skills/code-review,skills/code-review/tests,skills/code-review/tests,2,2,2,125,125,技能模板与流程资产,1.0000
skills,skills/contact-lookup,skills/contact-lookup,skills/contact-lookup,2,1,0,202,124,技能模板与流程资产,1.0000
skills,skills/web-page-editing,skills/web-page-editing,skills/web-page-editing,2,1,0,148,123,技能模板与流程资产,1.0000
skills,skills/soul-self-evolution,skills/soul-self-evolution/tests,skills/soul-self-evolution/tests,2,2,2,122,122,技能模板与流程资产,1.0000
skills,skills/eval-systematic-optimization,skills/eval-systematic-optimization/tests,skills/eval-systematic-optimization/tests,2,2,2,119,119,技能模板与流程资产,1.0000
skills,skills/json-render-templates,skills/json-render-templates,skills/json-render-templates,2,1,0,141,117,技能模板与流程资产,1.0000
skills,skills/lark-conversation-governor,skills/lark-conversation-governor,skills/lark-conversation-governor,2,1,0,148,116,技能模板与流程资产,1.0000
skills,skills/scheduled-tasks,skills/scheduled-tasks,skills/scheduled-tasks,2,1,0,142,116,技能模板与流程资产,1.0000
