logical_layer,module_l1,module_l2,module_l3,file_count,code_file_count,test_file_count,total_lines,code_lines,dominant_capability,dominant_capability_line_share
skills,skills/doc-management,skills/doc-management,skills/doc-management,2,1,0,172,115,技能模板与流程资产,1.0000
skills,skills/meeting-automation,skills/meeting-automation,skills/meeting-automation,2,1,0,183,115,技能模板与流程资产,1.0000
skills,skills/image-creation,skills/image-creation/tests,skills/image-creation/tests,2,2,2,113,113,技能模板与流程资产,1.0000
skills,skills/ppt-deck,skills/ppt-deck,skills/ppt-deck,2,1,0,135,111,技能模板与流程资产,1.0000
skills,skills/artifact-management,skills/artifact-management,skills/artifact-management,2,1,0,137,110,技能模板与流程资产,1.0000
skills,skills/deep-research,skills/deep-research/tests,skills/deep-research/tests,2,2,2,110,110,技能模板与流程资产,1.0000
skills,skills/memory-search,skills/memory-search,skills/memory-search,2,1,0,135,110,技能模板与流程资产,1.0000
skills,skills/self-test,skills/self-test,skills/self-test,2,1,0,133,109,技能模板与流程资产,1.0000
skills,skills/code-review,skills/code-review,skills/code-review,2,1,0,132,108,技能模板与流程资产,1.0000
skills,skills/sheets-report,skills/sheets-report,skills/sheets-report,2,1,0,167,107,技能模板与流程资产,1.0000
skills,skills/email-lark,skills/email-lark,skills/email-lark,2,1,0,173,106,技能模板与流程资产,1.0000
root,eval-web/components,eval-web/components/eval,eval-web/components/eval,3,3,0,105,105,评测流程实现,1.0000
domain,internal/domain,internal/domain/kernel,internal/domain/kernel,2,2,0,105,105,内核级领域抽象,1.0000
skills,skills/okr-native,skills/okr-native,skills/okr-native,2,1,0,170,105,技能模板与流程资产,1.0000
skills,skills/task-delegation,skills/task-delegation,skills/task-delegation,2,1,0,128,103,技能模板与流程资产,1.0000
skills,skills/config-management,skills/config-management,skills/config-management,2,1,0,128,102,技能模板与流程资产,1.0000
root,eval-web/components,eval-web/components/layout,eval-web/components/layout,2,2,0,101,101,评测流程实现,1.0000
shared,internal/shared,internal/shared/async,internal/shared/async,2,2,1,101,101,跨层共享基础能力,1.0000
skills,skills/best-practice-search,skills/best-practice-search,skills/best-practice-search,2,1,0,145,101,技能模板与流程资产,1.0000
skills,skills/calendar-management,skills/calendar-management/tests,skills/calendar-management/tests,2,2,2,101,101,技能模板与流程资产,1.0000
skills,skills/a2ui-templates,skills/a2ui-templates,skills/a2ui-templates,2,1,0,123,99,技能模板与流程资产,1.0000
skills,skills/okr-management,skills/okr-management/tests,skills/okr-management/tests,2,2,2,99,99,技能模板与流程资产,1.0000
skills,skills/artifact-management,skills/artifact-management/tests,skills/artifact-management/tests,2,2,2,97,97,技能模板与流程资产,1.0000
root,eval-web,eval-web,eval-web,7,4,0,9462,96,评测流程实现,1.0000
skills,skills/self-test,skills/self-test/tests,skills/self-test/tests,2,2,2,96,96,技能模板与流程资产,1.0000
web,web/app,web/app,web/app,4,3,0,400,96,Web 前端应用,1.0000
skills,skills/video-production,skills/video-production/tests,skills/video-production/tests,2,2,2,94,94,技能模板与流程资产,1.0000
root,eval-web/app,eval-web/app/dashboard,eval-web/app/dashboard,1,1,0,93,93,评测流程实现,1.0000
skills,skills/json-render-templates,skills/json-render-templates/tests,skills/json-render-templates/tests,2,2,2,89,89,技能模板与流程资产,1.0000
skills,skills/diagram-to-image,skills/diagram-to-image/tests,skills/diagram-to-image/tests,2,2,2,88,88,技能模板与流程资产,1.0000
skills,skills/research-briefing,skills/research-briefing/tests,skills/research-briefing/tests,2,2,2,88,88,技能模板与流程资产,1.0000
web,web/.storybook,web/.storybook,web/.storybook,2,2,0,88,88,Web 前端应用,1.0000
skills,skills/meta-orchestrator,skills/meta-orchestrator/tests,skills/meta-orchestrator/tests,2,2,2,87,87,技能模板与流程资产,1.0000
skills,skills/ppt-deck,skills/ppt-deck/tests,skills/ppt-deck/tests,2,2,2,87,87,技能模板与流程资产,1.0000
skills,skills/music-discovery,skills/music-discovery,skills/music-discovery,2,1,0,110,86,技能模板与流程资产,1.0000
skills,skills/background-tasks,skills/background-tasks/tests,skills/background-tasks/tests,2,2,2,85,85,技能模板与流程资产,1.0000
skills,skills/moltbook-posting,skills/moltbook-posting/tests,skills/moltbook-posting/tests,2,2,2,85,85,技能模板与流程资产,1.0000
skills,skills/research-briefing,skills/research-briefing,skills/research-briefing,2,1,0,124,85,技能模板与流程资产,1.0000
skills,skills/autonomous-scheduler,skills/autonomous-scheduler/tests,skills/autonomous-scheduler/tests,2,2,2,84,84,技能模板与流程资产,1.0000
skills,skills/scheduled-tasks,skills/scheduled-tasks/tests,skills/scheduled-tasks/tests,2,2,2,84,84,技能模板与流程资产,1.0000
skills,skills/audio-tts,skills/audio-tts,skills/audio-tts,2,1,0,126,83,技能模板与流程资产,1.0000
skills,skills/memory-search,skills/memory-search/tests,skills/memory-search/tests,2,2,2,83,83,技能模板与流程资产,1.0000
shared,internal/shared,internal/shared/parser,internal/shared/parser,1,1,0,82,82,跨层共享基础能力,1.0000
skills,skills/a2ui-templates,skills/a2ui-templates/tests,skills/a2ui-templates/tests,2,2,2,82,82,技能模板与流程资产,1.0000
skills,skills/config-management,skills/config-management/tests,skills/config-management/tests,2,2,2,81,81,技能模板与流程资产,1.0000
skills,skills/diagram-to-image,skills/diagram-to-image,skills/diagram-to-image,2,1,0,124,81,技能模板与流程资产,1.0000
skills,skills/social-trends,skills/social-trends,skills/social-trends,2,1,0,117,81,技能模板与流程资产,1.0000
skills,skills/meeting-notes,skills/meeting-notes,skills/meeting-notes,2,1,0,104,80,技能模板与流程资产,1.0000
skills,skills/social-trends,skills/social-trends/tests,skills/social-trends/tests,2,2,2,80,80,技能模板与流程资产,1.0000
root,third_party/sqlite-vec-go-bindings,third_party/sqlite-vec-go-bindings/cgo,third_party/sqlite-vec-go-bindings/cgo,5,3,0,9869,79,third_party/sqlite-vec-go-bindings/cgo 子模块实现,1.0000
skills,skills/auto-skill-creation,skills/auto-skill-creation/tests,skills/auto-skill-creation/tests,2,2,2,78,78,技能模板与流程资产,1.0000
skills,skills/desktop-automation,skills/desktop-automation/tests,skills/desktop-automation/tests,2,2,2,78,78,技能模板与流程资产,1.0000
skills,skills/web-page-editing,skills/web-page-editing/tests,skills/web-page-editing/tests,2,2,2,78,78,技能模板与流程资产,1.0000
scripts,scripts/cc_hooks,scripts/cc_hooks,scripts/cc_hooks,2,1,0,105,77,自动化脚本与研发工具链,1.0000
web,web/e2e,web/e2e/utils,web/e2e/utils,2,2,2,77,77,Web 端到端测试,1.0000
infra,internal/infra,internal/infra/runtime,internal/infra/runtime,1,1,0,76,76,运行时基础设施,1.0000
skills,skills/best-practice-search,skills/best-practice-search/tests,skills/best-practice-search/tests,2,2,2,76,76,技能模板与流程资产,1.0000
skills,skills/email-drafting,skills/email-drafting,skills/email-drafting,2,1,0,100,76,技能模板与流程资产,1.0000
skills,skills/desktop-automation,skills/desktop-automation,skills/desktop-automation,2,1,0,99,74,技能模板与流程资产,1.0000
web,web/components,web/components/status,web/components/status/__tests__,2,2,1,74,74,Web 组件层,1.0000
skills,skills/timer-management,skills/timer-management/tests,skills/timer-management/tests,2,2,2,72,72,技能模板与流程资产,1.0000
skills,skills/music-discovery,skills/music-discovery/tests,skills/music-discovery/tests,2,2,2,71,71,技能模板与流程资产,1.0000
skills,skills/meeting-notes,skills/meeting-notes/tests,skills/meeting-notes/tests,2,2,2,70,70,技能模板与流程资产,1.0000
skills,skills/task-delegation,skills/task-delegation/tests,skills/task-delegation/tests,2,2,2,68,68,技能模板与流程资产,1.0000
root,eval-web/lib,eval-web/lib,eval-web/lib,2,2,0,66,66,API 交付接口,0.9091
skills,skills/email-drafting,skills/email-drafting/tests,skills/email-drafting/tests,2,2,2,66,66,技能模板与流程资产,1.0000
app,internal/app,internal/app/toolcontext,internal/app/toolcontext,1,1,0,59,59,工具调用上下文编排,1.0000
skills,skills/timer-management,skills/timer-management,skills/timer-management,2,1,0,99,55,技能模板与流程资产,1.0000
delivery,internal/delivery,internal/delivery/schedulerapi,internal/delivery/schedulerapi,1,1,0,49,49,调度 API 交付接口,1.0000
skills,skills/lark-conversation-governor,skills/lark-conversation-governor/tests,skills/lark-conversation-governor/tests,2,2,2,46,46,技能模板与流程资产,1.0000
web,web/components,web/components/analytics,web/components/analytics,1,1,0,45,45,Web 组件层,1.0000
root,eval-web/app,eval-web/app/sessions,eval-web/app/sessions,1,1,0,42,42,会话状态管理,1.0000
root,eval-web/app,eval-web/app,eval-web/app,3,2,0,111,41,评测流程实现,1.0000
root,deploy/docker,deploy/docker,deploy/docker,6,1,0,431,37,deploy/docker 子模块实现,1.0000
app,internal/app,internal/app/lifecycle,internal/app/lifecycle,1,1,0,29,29,应用生命周期管理,1.0000
cmd,cmd/alex-web,cmd/alex-web,cmd/alex-web,1,1,0,24,24,命令行程序入口,1.0000
app,internal/app,internal/app/artifactruntime,internal/app/artifactruntime,1,1,0,21,21,应用层服务与用例编排,1.0000
cmd,cmd/eval-server,cmd/eval-server,cmd/eval-server,1,1,0,19,19,命令行程序入口,1.0000
app,internal/app,internal/app/workdir,internal/app/workdir,1,1,0,17,17,应用层服务与用例编排,1.0000
shared,internal/shared,internal/shared/json,internal/shared/json,1,1,0,15,15,跨层共享基础能力,1.0000
root,.github,.github,.github,2,1,0,34,10,.github 子模块实现,1.0000
web,web/app,web/app/en,web/app/en,1,1,0,5,5,Web 前端应用,1.0000
web,web/app,web/app/zh,web/app/zh,1,1,0,5,5,Web 前端应用,1.0000
root,.dockerignore,.dockerignore,.dockerignore,1,0,0,60,0,,0.0000
root,.env.example,.env.example,.env.example,1,0,0,55,0,,0.0000
root,.gitattributes,.gitattributes,.gitattributes,1,0,0,1,0,,0.0000
root,.github/workflows,.github/workflows,.github/workflows,9,0,0,1445,0,,0.0000
root,.gitignore,.gitignore,.gitignore,1,0,0,163,0,,0.0000
root,.mcp.json.example,.mcp.json.example,.mcp.json.example,1,0,0,38,0,,0.0000
root,AGENTS.md,AGENTS.md,AGENTS.md,1,0,0,91,0,,0.0000
root,CLAUDE.md,CLAUDE.md,CLAUDE.md,1,0,0,165,0,,0.0000
root,CONTRIBUTING.md,CONTRIBUTING.md,CONTRIBUTING.md,1,0,0,37,0,,0.0000
root,LICENSE,LICENSE,LICENSE,1,0,0,21,0,,0.0000
root,README.md,README.md,README.md,1,0,0,284,0,,0.0000
root,README.zh.md,README.zh.md,README.zh.md,1,0,0,283,0,,0.0000
root,ROADMAP.md,ROADMAP.md,ROADMAP.md,1,0,0,72,0,,0.0000
root,VISUALIZER_QUICKSTART.md,VISUALIZER_QUICKSTART.md,VISUALIZER_QUICKSTART.md,1,0,0,189,0,,0.0000
root,VISUALIZER_README.md,VISUALIZER_README.md,VISUALIZER_README.md,1,0,0,324,0,,0.0000
root,VISUALIZER_TROUBLESHOOTING.md,VISUALIZER_TROUBLESHOOTING.md,VISUALIZER_TROUBLESHOOTING.md,1,0,0,316,0,,0.0000
configs,configs/arch,configs/arch,configs/arch,2,0,0,622,0,,0.0000
configs,configs,configs,configs,3,0,0,163,0,,0.0000
configs,configs/context,configs/context,configs/context,1,0,0,28,0,,0.0000
configs,configs/context,configs/context/goals,configs/context/goals,1,0,0,6,0,,0.0000
configs,configs/context,configs/context/knowledge,configs/context/knowledge,4,0,0,39,0,,0.0000
configs,configs/context,configs/context/personas,configs/context/personas,1,0,0,5,0,,0.0000
configs,configs/context,configs/context/policies,configs/context/policies,1,0,0,16,0,,0.0000
configs,configs/context,configs/context/worlds,configs/context/worlds,1,0,0,15,0,,0.0000
configs,configs/eval,configs/eval/rubrics,configs/eval/rubrics,2,0,0,89,0,,0.0000
configs,configs/eval,configs/eval/sets,configs/eval/sets,2,0,0,28,0,,0.0000
configs,configs/skills,configs/skills,configs/skills,1,0,0,22,0,,0.0000
docs,docs,docs,docs,14,0,0,4768,0,,0.0000
docs,docs/analysis,docs/analysis,docs/analysis,15,0,0,1678,0,,0.0000
docs,docs/analytics,docs/analytics,docs/analytics,1,0,0,16,0,,0.0000
docs,docs/error-experience,docs/error-experience,docs/error-experience,2,0,0,20,0,,0.0000
docs,docs/error-experience,docs/error-experience/entries,docs/error-experience/entries,36,0,0,1003,0,,0.0000
docs,docs/error-experience,docs/error-experience/summary,docs/error-experience/summary/entries,49,0,0,217,0,,0.0000
docs,docs/good-experience,docs/good-experience,docs/good-experience,2,0,0,20,0,,0.0000
docs,docs/good-experience,docs/good-experience/entries,docs/good-experience/entries,46,0,0,753,0,,0.0000
docs,docs/good-experience,docs/good-experience/summary,docs/good-experience/summary/entries,46,0,0,140,0,,0.0000
docs,docs/guides,docs/guides,docs/guides,7,0,0,424,0,,0.0000
docs,docs/memory,docs/memory,docs/memory,3,0,0,134,0,,0.0000
docs,docs/operations,docs/operations,docs/operations,6,0,0,509,0,,0.0000
docs,docs/plans,docs/plans,docs/plans,471,0,0,31161,0,,0.0000
docs,docs/reference,docs/reference,docs/reference,19,0,0,2486,0,,0.0000
docs,docs/reference,docs/reference/images,docs/reference/images,6,0,0,0,0,,0.0000
docs,docs/research,docs/research,docs/research,17,0,0,2373,0,,0.0000
docs,docs/reviews,docs/reviews,docs/reviews,8,0,0,723,0,,0.0000
docs,docs/roadmap,docs/roadmap/draft,docs/roadmap/draft,6,0,0,1861,0,,0.0000
docs,docs/roadmap,docs/roadmap,docs/roadmap,3,0,0,661,0,,0.0000
evaluation,evaluation/agent_eval,evaluation/agent_eval/datasets,evaluation/agent_eval/datasets,65,0,0,6091,0,,0.0000
evaluation,evaluation/agent_eval,evaluation/agent_eval/report_templates,evaluation/agent_eval/report_templates,1,0,0,86,0,,0.0000
evaluation,evaluation/skills_e2e,evaluation/skills_e2e,evaluation/skills_e2e,1,0,0,414,0,,0.0000
evaluation,evaluation/swe_bench,evaluation/swe_bench/real_test_results,evaluation/swe_bench/real_test_results,6,0,0,418,0,,0.0000
root,examples/config,examples/config,examples/config,6,0,0,154,0,,0.0000
root,examples/local_av,examples/local_av,examples/local_av,1,0,0,50,0,,0.0000
root,go.mod,go.mod,go.mod,1,0,0,99,0,,0.0000
root,go.sum,go.sum,go.sum,1,0,0,278,0,,0.0000
root,models/functiongemma,models/functiongemma,models/functiongemma,1,0,0,0,0,,0.0000
root,npm/alex-darwin-amd64,npm/alex-darwin-amd64,npm/alex-darwin-amd64,1,0,0,34,0,,0.0000
root,npm/alex-darwin-arm64,npm/alex-darwin-arm64,npm/alex-darwin-arm64,1,0,0,34,0,,0.0000
root,npm/alex-linux-amd64,npm/alex-linux-amd64,npm/alex-linux-amd64,1,0,0,34,0,,0.0000
root,npm/alex-linux-arm64,npm/alex-linux-arm64,npm/alex-linux-arm64,1,0,0,34,0,,0.0000
root,npm/alex-windows-amd64,npm/alex-windows-amd64/bin,npm/alex-windows-amd64/bin,1,0,0,2,0,,0.0000
root,npm/alex-windows-amd64,npm/alex-windows-amd64,npm/alex-windows-amd64,1,0,0,34,0,,0.0000
root,proto/materials,proto/materials/v1,proto/materials/v1,1,0,0,168,0,,0.0000
root,pytest.ini,pytest.ini,pytest.ini,1,0,0,2,0,,0.0000
root,rfc,rfc,rfc,1,0,0,9,0,,0.0000
skills,skills/code-review,skills/code-review/references,skills/code-review/references,4,0,0,423,0,,0.0000
tests,tests/acceptance,tests/acceptance,tests/acceptance,1,0,1,17,0,,0.0000
tests,tests/acceptance,tests/acceptance/results,tests/acceptance/results,4,0,4,57,0,,0.0000
tests,tests/config,tests/config,tests/config,1,0,1,511,0,,0.0000
tests,tests/scenarios,tests/scenarios/lark,tests/scenarios/lark,12,0,12,344,0,,0.0000
root,third_party/sqlite-vec-go-bindings,third_party/sqlite-vec-go-bindings,third_party/sqlite-vec-go-bindings,2,0,0,32,0,,0.0000
web,web/docs,web/docs,web/docs,13,0,0,3216,0,,0.0000
web,web/docs,web/docs/plans,web/docs/plans,1,0,0,135,0,,0.0000
web,web/e2e,web/e2e/fixtures,web/e2e/fixtures,1,0,1,0,0,,0.0000
web,web/lib,web/lib/generated,web/lib/generated,1,0,0,228,0,,0.0000
web,web/public,web/public,web/public,2,0,0,0,0,,0.0000
web,web/tests,web/tests,web/tests,3,0,3,990,0,,0.0000
